City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,placido de castro,-10.3353,-67.1856,302.12,54,79,0.61,BR,1697670793
121,tual,-5.6667,132.75,299.68,80,14,5.43,ID,1697670794
122,poltavka,54.3663,71.7632,281.39,55,100,5.74,RU,1697670794
123,belen,36.4891,36.2233,287.23,100,40,3.09,TR,1697670794
124,shancheng,34.7953,116.0817,290.74,66,100,1.57,CN,1697670795
125,kalabo,-14.97,22.6814,297.14,22,13,3.08,ZM,1697670795
126,hadibu,12.65,54.0333,300.53,78,14,2.62,YE,1697670796
127,beloyarskiy,63.7119,66.6722,275.37,77,27,4.47,RU,1697670796
128,tsiombe,-25.3,45.4833,294.55,93,100,1.75,MG,1697670797
129,skhira,34.2992,10.07,295.97,56,63,2.32,TN,1697670797
130,aldan,58.6031,125.3894,268.82,97,100,0.89,RU,1697670797
131,laojunmiao,39.8333,97.7333,275.57,30,0,2.94,CN,1697670798
132,nova sintra,14.8667,-24.7167,297.91,70,0,3.9,CV,1697670799
133,koutiala,12.3917,-5.4642,301.98,51,77,3.14,ML,1697670799
134,peniche,39.3558,-9.3811,293.77,96,91,12.79,PT,1697670800
135,khovd,48.0056,91.6419,275.57,42,0,0.27,MN,1697670800
136,castillos,-34.1667,-53.8333,283.72,90,20,1.91,UY,1697670801
137,gobabis,-22.45,18.9667,292.65,22,0,4.98,NA,1697670646
138,yuzhno-kurilsk,44.0306,145.8556,287.25,58,100,8.68,RU,1697670677
139,manokwari,-0.8667,134.0833,300.94,70,28,1.17,ID,1697670802
140,atafu village,-8.5421,-172.5159,301.76,72,32,3.77,TK,1697670802
141,fortuna,40.5982,-124.1573,287.66,94,100,3.6,US,1697670803
142,clinton,42.587,-82.9199,288.33,72,75,5.14,US,1697670803
143,pulandian,39.3953,121.9669,286.08,78,100,2.59,CN,1697670804
144,hermanus,-34.4187,19.2345,289.59,87,39,7.22,ZA,1697670805
145,hami,42.8,93.45,281.99,38,0,1.4,CN,1697670649
146,mersrags,57.3354,23.1246,278.64,66,97,5.65,LV,1697670806
